,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
90,3.825,3.825,0.0,0.0,2.080989887,8.01793771e-15,0.0,0.0,-1.676649784e-06,1.0,1.0,1.687543601e-06,0.0,0.0,-1.089373696e-08
91,3.85,3.85,0.0,0.0,2.092835497,8.359305487e-15,0.0,0.0,-1.682024854e-06,1.0,1.0,1.693034194e-06,0.0,0.0,-1.100925992e-08
92,3.9,3.9,0.0,0.0,2.116500635,9.069072671e-15,0.0,0.0,-1.692648895e-06,1.0,1.0,1.703890171e-06,0.0,0.0,-1.124119288e-08
93,3.95,3.95,0.0,0.0,2.140132086,9.815156061e-15,0.0,0.0,-1.703109038e-06,1.0,1.0,1.714583281e-06,0.0,0.0,-1.147415766e-08
94,3.975,3.975,0.0,0.0,2.151935572,1.020190658e-14,0.0,0.0,-1.708279175e-06,1.0,1.0,1.719870245e-06,0.0,0.0,-1.159098325e-08
95,3.9875,3.9875,0.0,0.0,2.157834321,1.0398722900000001e-14,0.0,0.0,-1.710849518e-06,1.0,1.0,1.722499081e-06,0.0,0.0,-1.164947555e-08
96,4.0,4.0,0.0,0.0,2.163731098,1.0597838030000001e-14,0.0,0.0,-1.713410142e-06,1.0,1.0,1.725118247e-06,0.0,0.0,-1.17080171e-08
97,4.05,4.05,0.0,0.0,2.187298852,1.141735029e-14,0.0,0.0,-1.723556857e-06,1.0,1.0,1.73549959e-06,0.0,0.0,-1.19426425e-08
98,4.1,4.1,0.0,0.0,2.210836466,1.227387671e-14,0.0,0.0,-1.733553649e-06,1.0,1.0,1.745731657e-06,0.0,0.0,-1.217791399e-08
99,4.1015625,4.1015625,0.0,0.0,2.211571543,1.2301241220000001e-14,0.0,0.0,-1.733863681e-06,1.0,1.0,1.74604905e-06,0.0,0.0,-1.21852753e-08
100,4.10234375,4.10234375,0.0,0.0,2.21193907,1.2314937100000001e-14,0.0,0.0,-1.734018644e-06,1.0,1.0,1.746207694e-06,0.0,0.0,-1.218895626e-08
101,4.103125,4.103125,0.0,0.0,2.212306608,1.2328643650000001e-14,0.0,0.0,-1.734172735e-06,1.0,1.0,1.746365466e-06,0.0,0.0,-1.219263509e-08
102,4.10625,4.10625,0.0,0.0,2.213776602,1.2383552540000001e-14,0.0,0.0,-1.734792924e-06,1.0,1.0,1.747000382e-06,0.0,0.0,-1.220736279e-08
103,4.1125,4.1125,0.0,0.0,2.216716286,1.2493809180000001e-14,0.0,0.0,-1.736029933e-06,1.0,1.0,1.748266847e-06,0.0,0.0,-1.22368195e-08
104,4.125,4.125,0.0,0.0,2.222594314,1.2716065950000001e-14,0.0,0.0,-1.738496787e-06,1.0,1.0,1.750792638e-06,0.0,0.0,-1.229575584e-08
105,4.15,4.15,0.0,0.0,2.234345024,1.316755612e-14,0.0,0.0,-1.743404075e-06,1.0,1.0,1.755817891e-06,0.0,0.0,-1.241371862e-08
106,4.2,4.2,0.0,0.0,2.257825627,1.4098482790000001e-14,0.0,0.0,-1.753108181e-06,1.0,1.0,1.765758238e-06,0.0,0.0,-1.264995592e-08
107,4.25,4.25,0.0,0.0,2.281279303,1.506671071e-14,0.0,0.0,-1.762666803e-06,1.0,1.0,1.775553449e-06,0.0,0.0,-1.288654108e-08
108,4.3,4.3,0.0,0.0,2.304706902,1.60722589e-14,0.0,0.0,-1.772086648e-06,1.0,1.0,1.785210163e-06,0.0,0.0,-1.312340603e-08
109,4.3125,4.3125,0.0,0.0,2.310559848,1.632947387e-14,0.0,0.0,-1.774419511e-06,1.0,1.0,1.78760228e-06,0.0,0.0,-1.318265924e-08
110,4.325,4.325,0.0,0.0,2.316411221,1.658902049e-14,0.0,0.0,-1.776744354e-06,1.0,1.0,1.789986388e-06,0.0,0.0,-1.324192362e-08
111,4.35,4.35,0.0,0.0,2.328109311,1.711510758e-14,0.0,0.0,-1.781370207e-06,1.0,1.0,1.794730803e-06,0.0,0.0,-1.336048376e-08
112,4.4,4.4,0.0,0.0,2.351487217,1.81952322e-14,0.0,0.0,-1.790527914e-06,1.0,1.0,1.804125727e-06,0.0,0.0,-1.359769567e-08
113,4.45,4.45,0.0,0.0,2.374841422,1.9312560750000003e-14,0.0,0.0,-1.799563001e-06,1.0,1.0,1.813398102e-06,0.0,0.0,-1.383497857e-08
114,4.5,4.5,0.0,0.0,2.398172682,2.046699355e-14,0.0,0.0,-1.808478805e-06,1.0,1.0,1.82255121e-06,0.0,0.0,-1.407227787e-08
115,4.55,4.55,0.0,0.0,2.42148228,2.1658312950000002e-14,0.0,0.0,-1.817252508e-06,1.0,1.0,1.8315621e-06,0.0,0.0,-1.430945945e-08
116,4.6,4.6,0.0,0.0,2.444770613,2.2886401510000003e-14,0.0,0.0,-1.825900671e-06,1.0,1.0,1.840447325e-06,0.0,0.0,-1.454651601e-08
117,4.65,4.65,0.0,0.0,2.468038067,2.4151123840000003e-14,0.0,0.0,-1.83443916e-06,1.0,1.0,1.849222778e-06,0.0,0.0,-1.478347461e-08
118,4.7,4.7,0.0,0.0,2.491285287,2.545227932e-14,0.0,0.0,-1.842870479e-06,1.0,1.0,1.857890918e-06,0.0,0.0,-1.502028932e-08
119,4.75,4.75,0.0,0.0,2.514512888,2.678964477e-14,0.0,0.0,-1.851197189e-06,1.0,1.0,1.866454265e-06,0.0,0.0,-1.525692095e-08
120,4.8,4.8,0.0,0.0,2.537721457,2.816297528e-14,0.0,0.0,-1.859421834e-06,1.0,1.0,1.87491534e-06,0.0,0.0,-1.54933445e-08
121,4.85,4.85,0.0,0.0,2.560911595,2.9572023620000005e-14,0.0,0.0,-1.867545011e-06,1.0,1.0,1.883274721e-06,0.0,0.0,-1.572954167e-08
122,4.9,4.9,0.0,0.0,2.584084249,3.101636992e-14,0.0,0.0,-1.875549482e-06,1.0,1.0,1.891514878e-06,0.0,0.0,-1.596522411e-08
123,4.95,4.95,0.0,0.0,2.60723949,3.2495802690000003e-14,0.0,0.0,-1.883459024e-06,1.0,1.0,1.899659829e-06,0.0,0.0,-1.620062326e-08
124,5.0,5.0,0.0,0.0,2.630377851,3.4009977780000006e-14,0.0,0.0,-1.891274201e-06,1.0,1.0,1.907710114e-06,0.0,0.0,-1.643572432e-08
125,5.05,5.05,0.0,0.0,2.653499806,3.555853667e-14,0.0,0.0,-1.898996759e-06,1.0,1.0,1.915668148e-06,0.0,0.0,-1.667119225e-08
126,5.1,5.1,0.0,0.0,2.676605806,3.714109569e-14,0.0,0.0,-1.906628992e-06,1.0,1.0,1.923536001e-06,0.0,0.0,-1.690680565e-08
127,5.10625,5.10625,0.0,0.0,2.679492955,3.73412873e-14,0.0,0.0,-1.907576885e-06,1.0,1.0,1.924513325e-06,0.0,0.0,-1.693623466e-08
128,5.1125,5.1125,0.0,0.0,2.682379865,3.7542003660000006e-14,0.0,0.0,-1.908523339e-06,1.0,1.0,1.925489203e-06,0.0,0.0,-1.69656587e-08
129,5.125,5.125,0.0,0.0,2.688152961,3.794500619e-14,0.0,0.0,-1.910412254e-06,1.0,1.0,1.927436954e-06,0.0,0.0,-1.70244916e-08
130,5.15,5.15,0.0,0.0,2.699696293,3.87572682e-14,0.0,0.0,-1.914173924e-06,1.0,1.0,1.93131623e-06,0.0,0.0,-1.714209396e-08
131,5.2,5.2,0.0,0.0,2.722771682,4.0406627750000004e-14,0.0,0.0,-1.921634133e-06,1.0,1.0,1.939011391e-06,0.0,0.0,-1.737703893e-08
132,5.25,5.25,0.0,0.0,2.745832422,4.208873587e-14,0.0,0.0,-1.929009423e-06,1.0,1.0,1.946621273e-06,0.0,0.0,-1.761162277e-08
133,5.275,5.275,0.0,0.0,2.757357408,4.294192111e-14,0.0,0.0,-1.932666642e-06,1.0,1.0,1.950395647e-06,0.0,0.0,-1.772877392e-08
134,5.3,5.3,0.0,0.0,2.768878873,4.3803113940000004e-14,0.0,0.0,-1.936303632e-06,1.0,1.0,1.954149696e-06,0.0,0.0,-1.784582836e-08
135,5.35,5.35,0.0,0.0,2.791911428,4.554927082e-14,0.0,0.0,-1.943517814e-06,1.0,1.0,1.961597697e-06,0.0,0.0,-1.807963873e-08
136,5.4,5.4,0.0,0.0,2.814930455,4.7326688470000003e-14,0.0,0.0,-1.950653678e-06,1.0,1.0,1.968966968e-06,0.0,0.0,-1.831303725e-08
137,5.45,5.45,0.0,0.0,2.837936309,4.913482477e-14,0.0,0.0,-1.957712879e-06,1.0,1.0,1.976259148e-06,0.0,0.0,-1.85460076e-08
138,5.5,5.5,0.0,0.0,2.860929332,5.0973113560000004e-14,0.0,0.0,-1.964697033e-06,1.0,1.0,1.983475838e-06,0.0,0.0,-1.877853383e-08
139,5.525,5.525,0.0,0.0,2.872421134,5.1903381610000007e-14,0.0,0.0,-1.96816146e-06,1.0,1.0,1.987056362e-06,0.0,0.0,-1.88946255e-08
140,5.55,5.55,0.0,0.0,2.883909851,5.284096452e-14,0.0,0.0,-1.971607716e-06,1.0,1.0,1.990618594e-06,0.0,0.0,-1.901060032e-08
141,5.6,5.6,0.0,0.0,2.906878185,5.4737763410000006e-14,0.0,0.0,-1.978446484e-06,1.0,1.0,1.997688967e-06,0.0,0.0,-1.924219223e-08
142,5.65,5.65,0.0,0.0,2.929834736,5.6662808940000004e-14,0.0,0.0,-1.985209575e-06,1.0,1.0,2.004683274e-06,0.0,0.0,-1.947339775e-08
143,5.7,5.7,0.0,0.0,2.95277971,5.861549516e-14,0.0,0.0,-1.991903341e-06,1.0,1.0,2.01160777e-06,0.0,0.0,-1.970411768e-08
144,5.75,5.75,0.0,0.0,2.975713385,6.059514232e-14,0.0,0.0,-1.998529506e-06,1.0,1.0,2.018464157e-06,0.0,0.0,-1.993432877e-08
145,5.8,5.8,0.0,0.0,2.998636036,6.260104350000001e-14,0.0,0.0,-2.005089413e-06,1.0,1.0,2.025253762e-06,0.0,0.0,-2.016401646e-08
146,5.825,5.825,0.0,0.0,3.010093311,6.361361341000001e-14,0.0,0.0,-2.008344955e-06,1.0,1.0,2.028623954e-06,0.0,0.0,-2.02786603e-08
